Country,,Country,Medal_Two_Prior,Event,Medal_One_Prior,Medal_Hosted,Medal_One_Next,Medal_Two_Next
Belgium,74323488,Belgium,No Medal,"Wrestling Men's Middleweight, Freestyle",No Medal,No Medal,Silver,No Medal
Belgium,74319192,Belgium,No Medal,Weightlifting Men's Lightweight,No Medal,Bronze,No Medal,No Medal
Belgium,7108,Belgium,Silver,"Shooting Men's Free Pistol, 50 yards",No Medal,No Medal,No Medal,No Medal
Belgium,74319197,Belgium,No Medal,Art Competitions Mixed Sculpturing,No Medal,Gold,No Medal,No Medal
Belgium,74319203,Belgium,No Medal,"Archery Men's Pole Archery, Small Birds, Individual",No Medal,Bronze,No Medal,No Medal
Belgium,74319201,Belgium,No Medal,"Archery Men's Pole Archery, Small Birds, Individual",No Medal,Silver,No Medal,No Medal
Belgium,74319193,Belgium,No Medal,"Shooting Men's Trap, Team",No Medal,Silver,No Medal,No Medal
Belgium,74323495,Belgium,No Medal,"Cycling Men's Team Pursuit, 4,000 metres",No Medal,No Medal,Bronze,No Medal
Belgium,74319191,Belgium,No Medal,Weightlifting Men's Lightweight,No Medal,Silver,No Medal,No Medal
Belgium,74319207,Belgium,No Medal,Weightlifting Men's Featherweight,No Medal,Gold,No Medal,No Medal
Belgium,74319221,Belgium,No Medal,Swimming Men's 100 metres Backstroke,No Medal,Bronze,No Medal,No Medal
Belgium,74319209,Belgium,No Medal,"Equestrianism Men's Vaulting, Team",No Medal,Gold,No Medal,No Medal
Belgium,74319195,Belgium,No Medal,"Equestrianism Men's Jumping, Team",No Medal,Silver,No Medal,No Medal
Belgium,74319204,Belgium,No Medal,"Archery Men's Pole Archery, Large Birds, Individual",No Medal,Silver,No Medal,No Medal
Belgium,74313107,Belgium,No Medal,Rowing Men's Single Sculls,Silver,No Medal,No Medal,No Medal
Belgium,74323494,Belgium,No Medal,"Fencing Men's Foil, Individual",No Medal,No Medal,Bronze,No Medal
Belgium,74319228,Belgium,No Medal,Art Competitions Mixed Literature,No Medal,Bronze,No Medal,No Medal
Belgium,7110,Belgium,Silver,Sailing Mixed 6 metres,No Medal,Silver,No Medal,No Medal
Belgium,74319226,Belgium,No Medal,"Cycling Men's Road Race, Team",No Medal,Bronze,Silver,No Medal
Belgium,74319196,Belgium,No Medal,Art Competitions Mixed Sculpturing,No Medal,Silver,No Medal,No Medal
Belgium,7114,Belgium,Bronze,Cycling Men's 20 kilometres,No Medal,No Medal,No Medal,No Medal
Belgium,74319198,Belgium,No Medal,Art Competitions Mixed Sculpturing,No Medal,Bronze,No Medal,No Medal
Belgium,74323490,Belgium,No Medal,"Fencing Men's Foil, Team",No Medal,No Medal,Silver,No Medal
Belgium,74323493,Belgium,No Medal,Boxing Men's Welterweight,No Medal,No Medal,Gold,No Medal
Belgium,74319210,Belgium,No Medal,"Equestrianism Men's Vaulting, Individual",No Medal,Gold,No Medal,No Medal
Belgium,74319218,Belgium,No Medal,"Archery Men's Pole Archery, Small Birds, Team",No Medal,Gold,No Medal,No Medal
Canada,74323517,Canada,No Medal,Swimming Men's 200 metres Breaststroke,No Medal,No Medal,Gold,No Medal
Canada,74323513,Canada,No Medal,Athletics Women's 4 x 100 metres Relay,No Medal,No Medal,Silver,No Medal
Canada,74323524,Canada,No Medal,Swimming Men's 200 metres Backstroke,No Medal,No Medal,Bronze,No Medal
Canada,74323533,Canada,No Medal,Boxing Men's Bantamweight,No Medal,No Medal,Bronze,No Medal
Canada,74319229,Canada,No Medal,"Equestrianism Mixed Jumping, Individual",No Medal,Silver,No Medal,No Medal
Canada,74323531,Canada,No Medal,"Canoeing Women's Kayak Fours, 500 metres",No Medal,No Medal,Bronze,No Medal
Canada,74323507,Canada,No Medal,"Cycling Men's 1,000 metres Time Trial",No Medal,No Medal,Silver,No Medal
Canada,74323903,Canada,No Medal,Athletics Men's Decathlon,No Medal,No Medal,No Medal,Bronze
